timestamp,CHW.total_flow,B101-CH.status,B102-CH.status,B103-CH.status,B101-CH.cw_flow,B102-CH.cw_flow,B103-CH.cw_flow,CHWP1.status,CHWP1.frequency,CHWP1.power,CHWP1.head,CHWP2.status,CHWP2.frequency,CHWP2.power,CHWP2.head,CWP1.status,CWP1.frequency,CWP1.power,CWP1.head,CWP2.status,CWP2.frequency,CWP2.power,CWP2.head
2026-08-01 00:00:00,220,1,0,0,260,0,0,1,36,25.0,31.2,0,0,0,0,1,37.5,28.1,25.4,0,0,0,0
2026-08-01 00:05:00,238,1,0,0,279,0,0,1,38,26.4,32.7,0,0,0,0,1,39,30.3,26.7,0,0,0,0
2026-08-01 00:10:00,252,1,0,0,298,0,0,1,40,27.9,34.4,0,0,0,0,1,41,32.8,28.1,0,0,0,0
2026-08-01 00:15:00,271,1,1,0,316,0,0,1,42,30.0,36.1,0,0,0,0,1,43,35.2,29.3,0,0,0,0
2026-08-01 00:20:00,288,1,1,0,335,0,0,1,44,32.0,37.8,0,0,0,0,1,45,38.0,30.7,0,0,0,0
2026-08-01 00:25:00,520,1,1,0,354,180,0,1,46,28.9,39.4,1,46,28.9,39.2,1,47,31.9,32.0,1,47,31.9,31.8
2026-08-01 00:30:00,550,1,1,0,372,190,0,1,48,30.9,41.1,1,48,30.7,40.8,1,49,34.4,33.5,1,49,34.2,33.3
2026-08-01 00:35:00,580,1,1,1,390,200,0,1,50,38.5,42.9,1,49,37.8,42.1,1,51,37.2,35.0,1,50,36.1,34.4
2026-08-01 00:40:00,610,1,1,1,408,210,120,1,51,41.5,44.0,1,50,40.0,43.0,1,52.5,39.8,36.2,1,51,38.5,35.5
2026-08-01 00:45:00,640,1,1,1,425,220,135,1,52.5,44.5,45.2,1,51,42.4,43.8,1,54,42.8,37.0,1,52,40.8,36.2
